order_id,customer_id,order_date,product_id,product_name,quantity,unit_price,line_total,total_amount
25724,26386,2025-02-20,26967,Product 26967,6,187.56,1125.3600000000001,2879.45
27060,29162,2025-02-20,27329,Product 27329,8,90.8,726.4,201.3
25833,28794,2025-02-20,28045,Product 28045,8,27.28,218.24,4903.41
25590,28357,2025-02-20,26336,Product 26336,6,196.09,1176.54,2994.02
29047,28754,2025-02-20,26670,Product 26670,10,70.88,708.8,4892.73
27367,28075,2025-02-20,25550,Product 25550,1,74.96,74.96,3444.58
25213,28445,2025-02-20,28689,Product 28689,8,473.0,3784.0,4830.3
29092,25420,2025-02-20,28399,Product 28399,1,378.79,378.79,3854.07
26702,26438,2025-02-20,28714,Product 28714,5,190.78,953.9,1266.41
27565,29495,2025-02-20,27937,Product 27937,4,358.28,1433.12,304.2
28276,29917,2025-02-20,26629,Product 26629,7,449.12,3143.84,3332.02
28256,29915,2025-02-20,26748,Product 26748,10,191.86,1918.6000000000001,1412.2
26956,25934,2025-02-20,27313,Product 27313,5,367.56,1837.8,4064.76
27781,28829,2025-02-20,27141,Product 27141,5,299.19,1495.95,478.68
27300,27159,2025-02-20,26264,Product 26264,9,255.74,2301.66,150.41
27417,27255,2025-02-20,28042,Product 28042,3,373.84,1121.52,3326.52
27400,27265,2025-02-20,27322,Product 27322,4,399.66,1598.64,4785.58
29344,29427,2025-02-20,25452,Product 25452,5,261.4,1307.0,4023.57
25314,28964,2025-02-20,26906,Product 26906,8,474.86,3798.88,232.0
28859,26532,2025-02-20,25407,Product 25407,2,313.9,627.8,1666.9
