order_id,customer_id,order_date,total_amount,order_status
25006,28763,2025-02-20,1361.23,DELIVERED
25009,25108,2025-02-20,3789.05,PENDING
25011,28881,2025-02-20,2297.94,DELIVERED
25013,25170,2025-02-20,4142.28,PENDING
25015,25038,2025-02-20,1716.14,PENDING
25017,27015,2025-02-20,838.81,PENDING
25020,26831,2025-02-20,2563.86,DELIVERED
25032,28270,2025-02-20,2514.61,SHIPPED
25036,27850,2025-02-20,4002.22,SHIPPED
25054,27350,2025-02-20,860.0,SHIPPED
25057,29123,2025-02-20,656.76,SHIPPED
25063,27502,2025-02-20,4648.11,DELIVERED
25066,28328,2025-02-20,1908.87,DELIVERED
25083,28804,2025-02-20,3971.85,PENDING
25088,29976,2025-02-20,1431.82,DELIVERED
25089,29960,2025-02-20,224.03,SHIPPED
25090,29511,2025-02-20,3071.26,PENDING
25104,25317,2025-02-20,376.9,PENDING
25110,26243,2025-02-20,1372.62,SHIPPED
25133,28427,2025-02-20,4199.74,DELIVERED
25136,27234,2025-02-20,1416.29,PENDING
25145,25933,2025-02-20,3363.2,PENDING
25148,27325,2025-02-20,3386.57,SHIPPED
25162,29232,2025-02-20,2015.93,PENDING
25182,29636,2025-02-20,3553.32,DELIVERED
25199,29957,2025-02-20,3308.94,PENDING
25204,28316,2025-02-20,426.21,SHIPPED
25212,25370,2025-02-20,3701.95,PENDING
25213,28445,2025-02-20,4830.3,PENDING
25229,29628,2025-02-20,144.19,PENDING
25231,27016,2025-02-20,4041.82,SHIPPED
25242,26771,2025-02-20,1633.28,SHIPPED
25249,27837,2025-02-20,4567.31,DELIVERED
25252,26733,2025-02-20,2914.87,SHIPPED
25261,27271,2025-02-20,237.82,PENDING
25267,27678,2025-02-20,2500.95,DELIVERED
25269,27155,2025-02-20,3339.18,DELIVERED
25270,25286,2025-02-20,2663.86,DELIVERED
25276,29494,2025-02-20,1726.19,SHIPPED
25284,25167,2025-02-20,3636.33,DELIVERED
25292,28522,2025-02-20,572.16,DELIVERED
25314,28964,2025-02-20,232.0,PENDING
25326,29576,2025-02-20,4652.9,PENDING
25335,27754,2025-02-20,321.09,DELIVERED
25336,28839,2025-02-20,792.81,DELIVERED
25337,28511,2025-02-20,2131.73,DELIVERED
25338,26962,2025-02-20,4140.34,DELIVERED
25352,29677,2025-02-20,4256.47,SHIPPED
25365,26520,2025-02-20,1518.32,DELIVERED
25370,27465,2025-02-20,4908.28,SHIPPED
25377,26693,2025-02-20,2149.55,DELIVERED
25378,28082,2025-02-20,3128.62,DELIVERED
25380,28225,2025-02-20,1795.17,DELIVERED
25381,29903,2025-02-20,1794.47,PENDING
25382,25595,2025-02-20,4962.0,SHIPPED
25393,27445,2025-02-20,1250.94,DELIVERED
25408,25650,2025-02-20,4579.89,PENDING
25416,25678,2025-02-20,1196.8,DELIVERED
25418,28360,2025-02-20,3644.31,DELIVERED
25427,26634,2025-02-20,1986.33,PENDING
25432,27476,2025-02-20,2196.62,SHIPPED
25441,27363,2025-02-20,760.28,PENDING
25443,29679,2025-02-20,2943.28,SHIPPED
25457,29995,2025-02-20,1882.16,PENDING
25464,25072,2025-02-20,1304.21,DELIVERED
25476,27780,2025-02-20,3389.74,PENDING
25479,26476,2025-02-20,498.69,PENDING
25486,27642,2025-02-20,1537.02,DELIVERED
25491,26856,2025-02-20,3228.39,DELIVERED
25498,29311,2025-02-20,363.8,SHIPPED
25504,25866,2025-02-20,3757.78,DELIVERED
25507,26694,2025-02-20,3970.4,SHIPPED
25514,25228,2025-02-20,2808.6,DELIVERED
25516,28250,2025-02-20,3533.7,SHIPPED
25543,27117,2025-02-20,1289.82,DELIVERED
25544,29106,2025-02-20,3545.9,SHIPPED
25547,27733,2025-02-20,2202.62,DELIVERED
25555,29581,2025-02-20,3792.36,SHIPPED
25559,25367,2025-02-20,1603.43,PENDING
25569,27715,2025-02-20,4260.14,SHIPPED
25573,28548,2025-02-20,3590.52,DELIVERED
25577,27253,2025-02-20,4006.79,PENDING
25582,26249,2025-02-20,4048.39,PENDING
25586,25847,2025-02-20,1758.16,SHIPPED
25590,28357,2025-02-20,2994.02,DELIVERED
25593,28067,2025-02-20,3079.31,SHIPPED
25604,26686,2025-02-20,1028.04,PENDING
25607,28244,2025-02-20,2754.67,DELIVERED
25612,26258,2025-02-20,2307.65,SHIPPED
25622,25213,2025-02-20,3304.79,PENDING
25627,29396,2025-02-20,246.55,PENDING
25686,27921,2025-02-20,3831.2,SHIPPED
25699,26285,2025-02-20,4228.66,PENDING
25701,27944,2025-02-20,4444.79,PENDING
25703,25454,2025-02-20,1699.82,DELIVERED
25704,26270,2025-02-20,4426.91,PENDING
25713,26023,2025-02-20,2433.25,DELIVERED
