order_item_id,order_id,product_id,quantity,unit_price
25001,23806,3532,7,224.71
25002,5623,124,3,179.26
25003,2968,18297,3,491.29
25004,29378,6189,5,110.24
25005,20220,27815,6,424.56
25006,25192,13753,10,9.24
25007,6779,29958,7,435.42
25008,12662,9405,6,486.05
25009,17693,11594,4,367.46
25010,3223,7834,3,33.63
25011,11130,1768,6,117.16
25012,17059,27789,7,281.13
25013,4021,778,8,120.31
25014,19561,27423,2,455.98
25015,9034,12512,9,41.81
25016,2934,25503,6,136.17
25017,14022,12905,5,242.23
25018,5053,5628,10,14.47
25019,17636,12727,6,262.24
25020,12689,15129,10,380.14
25021,26500,20272,10,347.81
25022,5339,25828,5,314.13
25023,29512,15635,4,83.94
25024,7737,28156,2,376.66
25025,6966,29377,2,61.43
25026,11421,4691,5,142.23
25027,3584,1626,10,265.93
25028,4470,2871,9,97.35
25029,16249,25014,5,401.64
25030,13524,22861,3,104.65
25031,29898,2629,6,302.15
25032,1930,24559,4,447.03
25033,5821,6184,4,222.63
25034,17710,4647,2,410.69
25035,19539,4657,7,490.12
25036,12383,21410,7,389.86
25037,7648,20941,7,481.05
25038,21611,7898,5,374.67
25039,3237,19645,7,213.92
25040,11565,24816,10,458.94
25041,20461,6302,9,408.55
25042,8643,5219,5,317.64
25043,2014,15840,1,350.0
25044,10670,3628,4,120.82
25045,8904,18740,9,348.87
25046,7918,19147,3,93.97
25047,17418,6003,3,416.08
25048,17788,14518,5,192.59
25049,13763,13433,2,160.72
25050,26678,10367,2,134.93
25051,16919,23417,6,238.03
25052,4698,5052,7,342.09
25053,27901,17532,3,267.19
25054,6118,20215,8,56.94
25055,29844,13628,6,254.24
25056,26272,9236,9,337.27
25057,11714,7036,3,95.54
25058,14974,16242,9,390.84
25059,4146,2773,1,407.42
25060,1499,28952,5,217.21
25061,6834,21668,2,361.61
25062,29942,22004,7,223.91
25063,1560,8190,2,232.1
25064,24433,11011,8,318.8
25065,15921,20782,5,99.54
25066,23164,10308,8,169.13
25067,14774,4845,10,258.66
25068,5164,26978,7,426.94
25069,24778,8138,3,185.62
25070,14398,1814,3,55.47
25071,12002,3291,3,73.79
25072,16446,11073,8,319.17
25073,13627,16461,8,61.6
25074,2712,1146,6,436.12
25075,1945,4999,2,221.42
25076,22201,28147,4,388.67
25077,29601,23625,2,336.95
25078,8422,24105,3,16.99
25079,13235,8957,7,465.5
25080,3446,15707,10,419.64
25081,2442,1824,8,103.95
25082,25029,1441,9,242.45
25083,7858,1638,10,262.54
25084,14975,1589,10,336.81
25085,16038,9823,2,179.83
25086,19947,3615,3,186.41
25087,14577,4007,8,471.81
25088,19625,12898,6,276.61
25089,5031,13743,10,469.76
25090,4134,3187,4,191.66
25091,28341,14997,1,352.98
25092,11150,5740,1,349.34
25093,8090,17891,2,440.41
25094,19980,2962,4,239.87
25095,25129,10323,10,14.6
25096,25128,23751,4,294.79
25097,661,5061,4,327.69
25098,21794,301,3,393.82
25099,3107,1797,10,20.75
25100,22250,4790,2,216.69
25101,26731,3364,3,231.69
25102,19120,21694,5,33.56
25103,8938,24408,3,405.73
25104,9710,9112,3,111.43
25105,2070,3828,10,420.67
25106,13394,23083,1,235.65
25107,3756,5126,6,496.43
25108,8728,17476,6,278.19
25109,10077,21692,5,252.79
25110,12405,18918,7,221.21
25111,22578,23632,5,473.24
25112,7698,29081,6,204.51
25113,8788,16027,8,294.15
25114,5210,388,8,34.35
25115,16667,16775,1,450.86
25116,10849,11926,5,23.96
25117,3763,26146,1,162.1
25118,28333,10364,5,298.63
25119,8335,15897,9,134.73
25120,13441,22095,7,327.87
25121,1537,2990,6,314.29
25122,24698,4028,9,180.14
25123,17907,28955,4,404.54
25124,19359,8255,4,387.5
25125,1684,28222,5,165.32
25126,28927,25907,2,64.79
25127,16882,23980,7,426.16
25128,15181,19156,8,139.29
25129,22747,7467,1,299.97
25130,14372,18326,3,118.58
25131,911,26495,8,88.14
25132,6168,10290,8,28.48
25133,22981,24483,1,417.82
25134,761,27576,6,82.86
25135,15065,26151,7,466.49
25136,10726,18970,9,474.69
25137,29732,4971,6,279.4
25138,19115,2748,3,330.6
25139,2065,12177,9,25.11
25140,14809,10855,4,392.51
25141,27225,20643,1,288.77
25142,4264,24234,3,443.77
25143,25125,21168,9,87.57
25144,6231,12335,7,8.92
25145,15953,19088,3,243.71
25146,29422,14420,4,496.02
25147,26595,21133,8,230.81
25148,6535,23355,9,308.83
25149,16162,2358,2,51.59
25150,17502,13205,7,300.95
25151,1671,16036,1,188.09
25152,12858,17859,7,321.94
25153,29604,6517,6,448.68
25154,21913,28946,7,343.16
25155,18949,28116,4,252.16
25156,25599,1900,5,276.55
25157,19946,22672,7,98.34
25158,25137,3236,8,163.18
25159,8884,9257,6,41.93
25160,5048,12199,9,282.87
25161,18366,29568,8,208.66
25162,26047,1394,6,102.28
25163,21220,7316,4,466.56
25164,19708,4790,10,224.24
25165,19054,16296,6,459.48
25166,15150,23182,7,468.97
25167,4392,28598,9,284.22
25168,21288,21161,1,80.13
25169,5565,1980,4,195.94
25170,28917,5740,7,257.8
25171,6562,22017,1,110.02
25172,9665,19643,8,493.09
25173,18273,5077,8,280.05
25174,16329,3319,2,360.57
25175,4925,28573,4,336.86
25176,26342,13285,8,245.11
25177,27364,26690,3,41.4
25178,20218,24110,8,266.93
25179,14477,6493,4,222.47
25180,15056,1769,4,102.57
25181,17822,6493,9,27.56
25182,11519,2969,9,69.62
25183,5083,15320,4,132.38
25184,21525,14007,9,65.5
25185,345,23511,4,209.98
25186,5084,20732,7,232.22
25187,20867,2211,6,381.08
25188,19818,24723,10,272.67
25189,24393,18863,4,371.03
25190,6258,12658,3,171.85
25191,1413,17006,3,491.03
25192,25577,6831,1,409.73
25193,14784,16553,9,410.99
25194,8535,16161,6,104.22
25195,21236,690,9,399.48
25196,17849,8500,8,324.82
25197,27650,20207,5,488.89
25198,24182,8692,7,128.62
25199,19178,93,10,419.4
25200,18844,3053,2,198.43
