product_id,product_name,category,price
25001,Product 25001,Kitchen,256.57
25002,Product 25002,Sports,142.92
25003,Product 25003,Home Decor,755.22
25004,Product 25004,Kitchen,726.97
25005,Product 25005,Home Decor,398.55
25006,Product 25006,Electronics,334.23
25007,Product 25007,Home Decor,477.53
25008,Product 25008,Wearables,852.25
25009,Product 25009,Kitchen,655.11
25010,Product 25010,Sports,265.95
25011,Product 25011,Wearables,200.79
25012,Product 25012,Kitchen,767.39
25013,Product 25013,Electronics,554.44
25014,Product 25014,Wearables,644.51
25015,Product 25015,Home Decor,823.59
25016,Product 25016,Electronics,666.45
25017,Product 25017,Wearables,259.15
25018,Product 25018,Wearables,120.25
25019,Product 25019,Kitchen,799.93
25020,Product 25020,Wearables,559.61
25021,Product 25021,Kitchen,297.19
25022,Product 25022,Sports,820.14
25023,Product 25023,Sports,29.03
25024,Product 25024,Home Decor,912.14
25025,Product 25025,Home Decor,314.26
25026,Product 25026,Kitchen,528.42
25027,Product 25027,Wearables,906.09
25028,Product 25028,Sports,418.94
25029,Product 25029,Kitchen,735.85
25030,Product 25030,Sports,831.28
25031,Product 25031,Sports,478.19
25032,Product 25032,Electronics,338.02
25033,Product 25033,Electronics,787.25
25034,Product 25034,Kitchen,263.88
25035,Product 25035,Electronics,639.14
25036,Product 25036,Kitchen,394.14
25037,Product 25037,Home Decor,930.33
25038,Product 25038,Kitchen,246.99
25039,Product 25039,Home Decor,397.42
25040,Product 25040,Kitchen,205.55
25041,Product 25041,Wearables,734.44
25042,Product 25042,Electronics,386.79
25043,Product 25043,Home Decor,672.28
25044,Product 25044,Kitchen,184.23
25045,Product 25045,Electronics,911.0
25046,Product 25046,Sports,456.81
25047,Product 25047,Wearables,589.11
25048,Product 25048,Wearables,698.24
25049,Product 25049,Wearables,782.65
25050,Product 25050,Home Decor,221.96
25051,Product 25051,Home Decor,424.75
25052,Product 25052,Wearables,704.82
25053,Product 25053,Home Decor,792.57
25054,Product 25054,Electronics,635.64
25055,Product 25055,Kitchen,668.38
25056,Product 25056,Kitchen,732.89
25057,Product 25057,Sports,17.49
25058,Product 25058,Kitchen,130.22
25059,Product 25059,Home Decor,739.7
25060,Product 25060,Sports,896.7
25061,Product 25061,Wearables,121.54
25062,Product 25062,Wearables,145.63
25063,Product 25063,Electronics,808.6
25064,Product 25064,Wearables,68.18
25065,Product 25065,Sports,917.5
25066,Product 25066,Sports,130.98
25067,Product 25067,Kitchen,727.55
25068,Product 25068,Wearables,416.82
25069,Product 25069,Kitchen,896.99
25070,Product 25070,Electronics,449.84
25071,Product 25071,Electronics,283.08
25072,Product 25072,Electronics,543.15
25073,Product 25073,Electronics,301.03
25074,Product 25074,Home Decor,950.16
25075,Product 25075,Electronics,809.16
25076,Product 25076,Sports,145.6
25077,Product 25077,Sports,492.66
25078,Product 25078,Home Decor,971.75
25079,Product 25079,Home Decor,294.19
25080,Product 25080,Electronics,342.44
25081,Product 25081,Wearables,742.67
25082,Product 25082,Sports,806.04
25083,Product 25083,Wearables,466.32
25084,Product 25084,Sports,868.38
25085,Product 25085,Wearables,230.1
25086,Product 25086,Electronics,219.69
25087,Product 25087,Home Decor,259.71
25088,Product 25088,Wearables,697.86
25089,Product 25089,Wearables,820.39
25090,Product 25090,Wearables,888.95
25091,Product 25091,Home Decor,386.97
25092,Product 25092,Kitchen,139.78
25093,Product 25093,Home Decor,159.42
25094,Product 25094,Sports,498.74
25095,Product 25095,Home Decor,684.84
25096,Product 25096,Wearables,389.69
25097,Product 25097,Kitchen,110.95
25098,Product 25098,Home Decor,554.45
25099,Product 25099,Home Decor,774.6
25100,Product 25100,Electronics,335.79
25101,Product 25101,Home Decor,557.05
25102,Product 25102,Wearables,774.42
25103,Product 25103,Kitchen,110.51
25104,Product 25104,Wearables,388.15
25105,Product 25105,Home Decor,668.18
25106,Product 25106,Kitchen,244.85
25107,Product 25107,Kitchen,349.31
25108,Product 25108,Kitchen,7.03
25109,Product 25109,Electronics,392.61
25110,Product 25110,Wearables,419.29
25111,Product 25111,Electronics,437.22
25112,Product 25112,Kitchen,682.46
25113,Product 25113,Sports,924.39
25114,Product 25114,Electronics,294.73
25115,Product 25115,Sports,615.51
25116,Product 25116,Electronics,126.17
25117,Product 25117,Wearables,48.85
25118,Product 25118,Electronics,370.75
25119,Product 25119,Wearables,38.05
25120,Product 25120,Wearables,619.18
25121,Product 25121,Sports,787.12
25122,Product 25122,Home Decor,307.96
25123,Product 25123,Electronics,942.17
25124,Product 25124,Kitchen,412.65
25125,Product 25125,Electronics,741.23
25126,Product 25126,Home Decor,678.09
25127,Product 25127,Sports,95.83
25128,Product 25128,Electronics,248.6
25129,Product 25129,Kitchen,962.98
25130,Product 25130,Wearables,433.3
25131,Product 25131,Kitchen,940.47
25132,Product 25132,Kitchen,629.09
25133,Product 25133,Wearables,102.42
25134,Product 25134,Sports,950.19
25135,Product 25135,Electronics,556.88
25136,Product 25136,Kitchen,825.72
25137,Product 25137,Wearables,634.54
25138,Product 25138,Electronics,784.74
25139,Product 25139,Kitchen,359.42
25140,Product 25140,Electronics,573.58
25141,Product 25141,Wearables,455.23
25142,Product 25142,Home Decor,137.22
25143,Product 25143,Home Decor,557.84
25144,Product 25144,Sports,814.33
25145,Product 25145,Sports,700.77
25146,Product 25146,Wearables,704.26
25147,Product 25147,Wearables,524.42
25148,Product 25148,Home Decor,587.38
25149,Product 25149,Electronics,798.29
25150,Product 25150,Home Decor,744.8
25151,Product 25151,Home Decor,396.56
25152,Product 25152,Wearables,998.03
25153,Product 25153,Sports,297.12
25154,Product 25154,Kitchen,504.2
25155,Product 25155,Wearables,183.95
25156,Product 25156,Home Decor,836.22
25157,Product 25157,Home Decor,292.45
25158,Product 25158,Home Decor,179.58
25159,Product 25159,Sports,987.11
25160,Product 25160,Sports,640.01
25161,Product 25161,Electronics,486.8
25162,Product 25162,Home Decor,885.49
25163,Product 25163,Kitchen,497.75
25164,Product 25164,Wearables,325.01
25165,Product 25165,Sports,717.17
25166,Product 25166,Home Decor,482.29
25167,Product 25167,Kitchen,967.08
25168,Product 25168,Sports,103.64
25169,Product 25169,Kitchen,893.88
25170,Product 25170,Home Decor,383.9
25171,Product 25171,Sports,215.73
25172,Product 25172,Wearables,743.83
25173,Product 25173,Home Decor,496.41
25174,Product 25174,Home Decor,271.71
25175,Product 25175,Wearables,616.94
