order_id,product_id,quantity,unit_price,customer_id,order_date,total_amount,order_status
34029,28790,1,247.99,34964,2025-02-26,1434.31,SHIPPED
34195,16075,10,280.92,34406,2025-02-26,2458.55,DELIVERED
32644,10762,3,18.61,34050,2025-02-26,4275.63,PENDING
34735,21997,3,429.11,30885,2025-02-26,2171.03,PENDING
34505,7787,1,383.06,33523,2025-02-26,706.58,PENDING
33467,18849,5,178.59,31233,2025-02-26,886.28,SHIPPED
31348,11891,2,287.96,32097,2025-02-26,903.92,DELIVERED
33223,9600,10,214.16,34090,2025-02-26,4957.62,DELIVERED
33777,8264,10,419.05,34548,2025-02-26,551.79,PENDING
31328,11912,4,44.4,34510,2025-02-26,4416.36,SHIPPED
33561,20221,10,284.38,32800,2025-02-26,1013.58,DELIVERED
33213,872,7,36.52,31193,2025-02-26,3698.16,PENDING
31409,730,5,263.7,32533,2025-02-26,796.1,PENDING
30588,11741,3,335.59,34104,2025-02-26,4043.2,PENDING
33116,30112,6,421.12,33874,2025-02-26,1451.38,DELIVERED
33116,11085,5,211.6,33874,2025-02-26,1451.38,DELIVERED
32726,5771,9,96.42,30187,2025-02-26,3988.5,PENDING
32881,30882,10,159.38,31001,2025-02-26,2712.99,DELIVERED
32319,12320,6,396.12,30180,2025-02-26,24.76,SHIPPED
30315,5072,1,127.09,31023,2025-02-26,1988.44,DELIVERED
32522,3173,7,359.36,32430,2025-02-26,4462.48,SHIPPED
34612,25700,1,139.01,30020,2025-02-26,4066.36,SHIPPED
34140,23926,8,219.91,32047,2025-02-26,851.27,PENDING
33549,2638,9,84.76,33790,2025-02-26,1916.91,PENDING
34083,28710,8,31.33,31560,2025-02-26,3771.83,DELIVERED
31006,11741,8,402.73,30450,2025-02-26,4706.79,PENDING
30377,10446,9,102.03,34623,2025-02-26,2595.71,PENDING
31230,15428,7,327.3,30579,2025-02-26,2888.42,DELIVERED
32430,15124,5,24.44,34633,2025-02-26,3882.41,DELIVERED
32637,29395,3,66.82,32244,2025-02-26,1276.23,PENDING
33145,32517,4,249.76,33717,2025-02-26,4052.59,SHIPPED
33398,28036,2,302.22,34470,2025-02-26,3139.57,PENDING
31351,16774,1,8.39,32156,2025-02-26,2783.39,PENDING
30302,11163,8,288.46,30929,2025-02-26,3002.25,SHIPPED
31016,19365,10,277.29,31637,2025-02-26,1990.01,PENDING
31590,18127,3,52.71,30228,2025-02-26,762.72,DELIVERED
32082,24844,3,291.84,33925,2025-02-26,3679.53,SHIPPED
30139,7643,1,439.46,30348,2025-02-26,4715.15,PENDING
32691,17268,8,313.76,31710,2025-02-26,1979.54,PENDING
32691,22744,4,10.78,31710,2025-02-26,1979.54,PENDING
30522,1992,2,138.39,31509,2025-02-26,4073.92,SHIPPED
31773,1086,5,234.74,31369,2025-02-26,3079.58,SHIPPED
30253,23086,1,352.32,31266,2025-02-26,2548.97,SHIPPED
33667,17243,1,47.56,34316,2025-02-26,2873.81,PENDING
33377,15164,1,380.48,33069,2025-02-26,3984.84,PENDING
30077,18870,6,12.78,30744,2025-02-26,468.49,PENDING
32384,12678,4,101.49,30776,2025-02-26,3278.49,SHIPPED
33662,1859,9,214.95,31619,2025-02-26,1778.37,DELIVERED
34506,28509,9,454.59,30712,2025-02-26,4707.78,PENDING
31320,12060,10,466.92,34358,2025-02-26,2079.01,PENDING
34918,312,4,152.32,30659,2025-02-26,1129.32,DELIVERED
33356,4188,4,189.75,30564,2025-02-26,289.56,PENDING
32186,9551,4,423.87,30749,2025-02-26,2655.24,PENDING
33601,30284,9,495.37,34811,2025-02-26,2965.62,PENDING
34173,19281,3,289.53,30930,2025-02-26,369.29,SHIPPED
32041,30487,9,495.0,34024,2025-02-26,3931.3,DELIVERED
31771,25819,7,378.35,30002,2025-02-26,64.15,PENDING
32879,13164,10,198.97,33844,2025-02-26,2866.47,SHIPPED
34931,2313,5,79.51,34777,2025-02-26,4514.4,SHIPPED
30318,24773,10,247.12,34191,2025-02-26,4333.66,SHIPPED
32072,33205,6,350.14,33692,2025-02-26,1295.11,DELIVERED
33584,13289,3,384.44,30050,2025-02-26,205.23,PENDING
33584,21643,1,31.76,30050,2025-02-26,205.23,PENDING
30989,11494,6,15.32,34987,2025-02-26,449.6,PENDING
32140,28162,7,24.39,34691,2025-02-26,2322.32,SHIPPED
33744,7782,3,55.43,32873,2025-02-26,3270.81,PENDING
34376,14818,3,233.11,33671,2025-02-26,896.51,PENDING
30854,30804,2,109.01,31218,2025-02-26,2624.72,PENDING
32490,22365,10,221.16,33584,2025-02-26,514.63,DELIVERED
32227,2309,5,230.94,34544,2025-02-26,2242.1,PENDING
31312,12079,2,177.14,34617,2025-02-26,4892.77,SHIPPED
32647,19249,9,226.75,32798,2025-02-26,1826.41,PENDING
