product_id,product_name,category,price
30001,Product 30001,Home Decor,713.97
30002,Product 30002,Wearables,848.54
30003,Product 30003,Sports,668.62
30004,Product 30004,Electronics,903.72
30005,Product 30005,Electronics,374.79
30006,Product 30006,Sports,851.12
30007,Product 30007,Wearables,459.64
30008,Product 30008,Electronics,155.79
30009,Product 30009,Wearables,827.52
30010,Product 30010,Sports,225.63
30011,Product 30011,Home Decor,532.22
30012,Product 30012,Sports,111.17
30013,Product 30013,Wearables,950.23
30014,Product 30014,Sports,959.23
30015,Product 30015,Home Decor,93.89
30016,Product 30016,Kitchen,186.43
30017,Product 30017,Kitchen,157.87
30018,Product 30018,Sports,638.18
30019,Product 30019,Electronics,891.85
30020,Product 30020,Sports,650.93
30021,Product 30021,Wearables,718.04
30022,Product 30022,Wearables,924.34
30023,Product 30023,Wearables,61.65
30024,Product 30024,Home Decor,44.22
30025,Product 30025,Wearables,311.6
30026,Product 30026,Wearables,316.67
30027,Product 30027,Sports,49.26
30028,Product 30028,Home Decor,274.29
30029,Product 30029,Sports,651.74
30030,Product 30030,Home Decor,672.4
30031,Product 30031,Sports,945.72
30032,Product 30032,Sports,162.65
30033,Product 30033,Kitchen,695.85
30034,Product 30034,Wearables,844.9
30035,Product 30035,Electronics,706.87
30036,Product 30036,Home Decor,259.18
30037,Product 30037,Home Decor,879.36
30038,Product 30038,Electronics,992.15
30039,Product 30039,Wearables,703.73
30040,Product 30040,Home Decor,478.19
30041,Product 30041,Home Decor,32.7
30042,Product 30042,Kitchen,717.01
30043,Product 30043,Electronics,409.27
30044,Product 30044,Electronics,986.08
30045,Product 30045,Home Decor,339.56
30046,Product 30046,Home Decor,357.87
30047,Product 30047,Electronics,173.81
30048,Product 30048,Sports,224.68
30049,Product 30049,Sports,286.84
30050,Product 30050,Home Decor,310.73
30051,Product 30051,Sports,275.23
30052,Product 30052,Kitchen,566.8
30053,Product 30053,Home Decor,901.84
30054,Product 30054,Home Decor,56.5
30055,Product 30055,Wearables,342.05
30056,Product 30056,Sports,571.84
30057,Product 30057,Electronics,133.57
30058,Product 30058,Wearables,39.04
30059,Product 30059,Home Decor,966.7
30060,Product 30060,Wearables,725.07
30061,Product 30061,Home Decor,936.75
30062,Product 30062,Kitchen,384.59
30063,Product 30063,Sports,818.79
30064,Product 30064,Kitchen,37.76
30065,Product 30065,Sports,642.2
30066,Product 30066,Sports,501.45
30067,Product 30067,Wearables,864.93
30068,Product 30068,Home Decor,664.46
30069,Product 30069,Kitchen,946.64
30070,Product 30070,Kitchen,515.86
30071,Product 30071,Sports,217.4
30072,Product 30072,Sports,262.94
30073,Product 30073,Sports,989.35
30074,Product 30074,Sports,590.77
30075,Product 30075,Sports,541.84
30076,Product 30076,Kitchen,814.36
30077,Product 30077,Home Decor,165.96
30078,Product 30078,Home Decor,582.82
30079,Product 30079,Sports,418.34
30080,Product 30080,Sports,834.82
30081,Product 30081,Home Decor,261.57
30082,Product 30082,Wearables,972.83
30083,Product 30083,Wearables,6.48
30084,Product 30084,Kitchen,574.27
30085,Product 30085,Sports,978.79
30086,Product 30086,Kitchen,14.68
30087,Product 30087,Electronics,177.09
30088,Product 30088,Kitchen,738.6
30089,Product 30089,Home Decor,117.4
30090,Product 30090,Kitchen,989.92
30091,Product 30091,Kitchen,762.37
30092,Product 30092,Wearables,698.88
30093,Product 30093,Sports,888.3
30094,Product 30094,Home Decor,326.37
30095,Product 30095,Electronics,249.89
30096,Product 30096,Electronics,784.41
30097,Product 30097,Electronics,828.47
30098,Product 30098,Wearables,740.53
30099,Product 30099,Kitchen,885.54
30100,Product 30100,Kitchen,896.27
30101,Product 30101,Kitchen,83.63
30102,Product 30102,Kitchen,304.89
30103,Product 30103,Electronics,109.05
30104,Product 30104,Wearables,279.62
30105,Product 30105,Electronics,80.86
30106,Product 30106,Kitchen,117.37
30107,Product 30107,Sports,735.95
30108,Product 30108,Sports,594.28
30109,Product 30109,Electronics,977.93
30110,Product 30110,Kitchen,218.49
30111,Product 30111,Kitchen,99.36
30112,Product 30112,Home Decor,122.73
30113,Product 30113,Sports,581.98
30114,Product 30114,Home Decor,332.84
30115,Product 30115,Wearables,795.77
30116,Product 30116,Home Decor,905.81
30117,Product 30117,Wearables,31.49
30118,Product 30118,Electronics,933.45
30119,Product 30119,Wearables,478.21
30120,Product 30120,Electronics,150.03
30121,Product 30121,Home Decor,775.18
30122,Product 30122,Wearables,150.27
30123,Product 30123,Home Decor,501.28
30124,Product 30124,Sports,308.32
30125,Product 30125,Electronics,155.79
30126,Product 30126,Electronics,775.59
30127,Product 30127,Kitchen,405.51
30128,Product 30128,Kitchen,994.71
30129,Product 30129,Kitchen,937.88
30130,Product 30130,Sports,565.12
30131,Product 30131,Electronics,840.78
30132,Product 30132,Kitchen,874.57
30133,Product 30133,Wearables,80.22
30134,Product 30134,Sports,577.09
30135,Product 30135,Home Decor,845.9
30136,Product 30136,Wearables,414.5
30137,Product 30137,Wearables,512.1
30138,Product 30138,Sports,969.09
30139,Product 30139,Sports,344.44
30140,Product 30140,Home Decor,162.54
30141,Product 30141,Kitchen,829.29
30142,Product 30142,Wearables,549.72
30143,Product 30143,Home Decor,71.81
30144,Product 30144,Sports,890.79
30145,Product 30145,Electronics,813.69
30146,Product 30146,Wearables,458.28
30147,Product 30147,Electronics,521.6
30148,Product 30148,Electronics,474.22
30149,Product 30149,Electronics,456.23
30150,Product 30150,Wearables,951.09
30151,Product 30151,Kitchen,857.26
30152,Product 30152,Electronics,875.48
30153,Product 30153,Home Decor,911.49
30154,Product 30154,Electronics,790.04
30155,Product 30155,Home Decor,143.6
30156,Product 30156,Home Decor,544.2
30157,Product 30157,Home Decor,868.89
30158,Product 30158,Home Decor,670.34
30159,Product 30159,Wearables,768.82
30160,Product 30160,Wearables,344.78
30161,Product 30161,Wearables,755.07
30162,Product 30162,Home Decor,886.51
30163,Product 30163,Electronics,918.11
30164,Product 30164,Electronics,580.06
30165,Product 30165,Electronics,715.4
30166,Product 30166,Wearables,787.88
30167,Product 30167,Electronics,897.08
30168,Product 30168,Electronics,773.34
30169,Product 30169,Sports,437.7
30170,Product 30170,Wearables,822.22
30171,Product 30171,Wearables,774.23
30172,Product 30172,Electronics,938.25
30173,Product 30173,Home Decor,376.25
30174,Product 30174,Wearables,504.36
30175,Product 30175,Wearables,837.23
30176,Product 30176,Kitchen,596.71
30177,Product 30177,Kitchen,769.82
30178,Product 30178,Wearables,455.38
30179,Product 30179,Wearables,403.07
30180,Product 30180,Kitchen,294.38
30181,Product 30181,Wearables,68.0
30182,Product 30182,Sports,451.95
30183,Product 30183,Kitchen,625.36
30184,Product 30184,Kitchen,548.11
30185,Product 30185,Kitchen,155.44
30186,Product 30186,Kitchen,716.1
30187,Product 30187,Wearables,831.27
30188,Product 30188,Home Decor,16.72
30189,Product 30189,Sports,731.73
30190,Product 30190,Wearables,585.85
30191,Product 30191,Sports,385.21
30192,Product 30192,Sports,867.95
30193,Product 30193,Wearables,239.79
30194,Product 30194,Kitchen,881.45
30195,Product 30195,Sports,14.91
30196,Product 30196,Home Decor,666.55
30197,Product 30197,Sports,576.94
30198,Product 30198,Electronics,641.45
30199,Product 30199,Electronics,243.41
30200,Product 30200,Electronics,888.49
30201,Product 30201,Electronics,23.74
30202,Product 30202,Home Decor,470.49
30203,Product 30203,Kitchen,823.46
30204,Product 30204,Electronics,171.47
30205,Product 30205,Home Decor,716.99
30206,Product 30206,Electronics,114.53
30207,Product 30207,Wearables,719.88
30208,Product 30208,Wearables,523.49
30209,Product 30209,Sports,157.19
30210,Product 30210,Home Decor,996.02
30211,Product 30211,Sports,788.58
30212,Product 30212,Wearables,697.56
30213,Product 30213,Electronics,105.52
30214,Product 30214,Home Decor,992.99
30215,Product 30215,Home Decor,552.55
30216,Product 30216,Sports,409.35
30217,Product 30217,Electronics,787.37
30218,Product 30218,Wearables,279.2
30219,Product 30219,Wearables,840.7
30220,Product 30220,Home Decor,961.09
30221,Product 30221,Home Decor,541.86
30222,Product 30222,Electronics,477.04
30223,Product 30223,Wearables,76.34
30224,Product 30224,Home Decor,114.69
30225,Product 30225,Sports,57.9
30226,Product 30226,Wearables,576.4
30227,Product 30227,Sports,703.91
30228,Product 30228,Kitchen,680.45
30229,Product 30229,Electronics,247.64
30230,Product 30230,Sports,444.07
30231,Product 30231,Wearables,551.35
30232,Product 30232,Wearables,895.59
30233,Product 30233,Kitchen,23.23
30234,Product 30234,Electronics,962.01
30235,Product 30235,Electronics,570.34
30236,Product 30236,Electronics,930.75
30237,Product 30237,Electronics,976.52
30238,Product 30238,Wearables,698.02
30239,Product 30239,Kitchen,565.38
30240,Product 30240,Home Decor,797.05
30241,Product 30241,Electronics,253.27
30242,Product 30242,Kitchen,224.09
30243,Product 30243,Sports,300.62
30244,Product 30244,Wearables,549.29
30245,Product 30245,Kitchen,354.91
30246,Product 30246,Sports,779.16
30247,Product 30247,Sports,777.82
30248,Product 30248,Sports,957.22
30249,Product 30249,Home Decor,581.66
30250,Product 30250,Sports,465.36
30251,Product 30251,Home Decor,47.24
30252,Product 30252,Wearables,461.37
30253,Product 30253,Electronics,29.5
30254,Product 30254,Electronics,892.02
30255,Product 30255,Home Decor,479.08
30256,Product 30256,Sports,642.72
30257,Product 30257,Wearables,896.91
30258,Product 30258,Electronics,340.74
30259,Product 30259,Kitchen,931.59
30260,Product 30260,Kitchen,266.0
30261,Product 30261,Sports,262.0
30262,Product 30262,Sports,736.95
30263,Product 30263,Home Decor,488.88
30264,Product 30264,Sports,630.04
30265,Product 30265,Sports,682.93
30266,Product 30266,Electronics,128.05
30267,Product 30267,Electronics,166.23
30268,Product 30268,Sports,713.06
30269,Product 30269,Wearables,487.93
30270,Product 30270,Wearables,69.11
30271,Product 30271,Kitchen,459.25
30272,Product 30272,Sports,798.18
30273,Product 30273,Kitchen,208.63
30274,Product 30274,Wearables,503.57
30275,Product 30275,Home Decor,447.35
30276,Product 30276,Home Decor,736.49
30277,Product 30277,Wearables,744.67
30278,Product 30278,Sports,796.19
30279,Product 30279,Electronics,550.9
30280,Product 30280,Sports,518.58
30281,Product 30281,Wearables,450.33
30282,Product 30282,Electronics,638.42
30283,Product 30283,Kitchen,204.43
30284,Product 30284,Electronics,175.06
30285,Product 30285,Home Decor,409.44
30286,Product 30286,Wearables,918.74
30287,Product 30287,Home Decor,786.96
30288,Product 30288,Electronics,554.63
30289,Product 30289,Home Decor,451.73
30290,Product 30290,Wearables,759.41
30291,Product 30291,Electronics,250.89
30292,Product 30292,Electronics,71.96
30293,Product 30293,Wearables,838.59
30294,Product 30294,Sports,564.05
30295,Product 30295,Sports,812.19
30296,Product 30296,Kitchen,910.0
30297,Product 30297,Electronics,140.65
30298,Product 30298,Electronics,753.53
30299,Product 30299,Electronics,91.32
30300,Product 30300,Sports,998.7
30301,Product 30301,Home Decor,982.59
30302,Product 30302,Home Decor,452.56
30303,Product 30303,Kitchen,444.24
30304,Product 30304,Electronics,693.94
30305,Product 30305,Kitchen,797.98
30306,Product 30306,Wearables,319.82
30307,Product 30307,Electronics,970.02
30308,Product 30308,Electronics,679.77
30309,Product 30309,Electronics,318.42
30310,Product 30310,Home Decor,767.54
30311,Product 30311,Kitchen,590.94
30312,Product 30312,Sports,453.56
30313,Product 30313,Kitchen,190.37
30314,Product 30314,Sports,301.83
30315,Product 30315,Kitchen,592.88
30316,Product 30316,Electronics,161.83
30317,Product 30317,Electronics,291.05
30318,Product 30318,Electronics,67.87
30319,Product 30319,Sports,33.83
30320,Product 30320,Home Decor,798.37
30321,Product 30321,Home Decor,697.29
30322,Product 30322,Sports,319.17
30323,Product 30323,Sports,280.87
30324,Product 30324,Kitchen,887.63
30325,Product 30325,Wearables,486.82
30326,Product 30326,Sports,642.53
30327,Product 30327,Home Decor,701.99
30328,Product 30328,Sports,631.86
30329,Product 30329,Sports,894.27
30330,Product 30330,Home Decor,29.06
30331,Product 30331,Home Decor,420.28
30332,Product 30332,Wearables,242.86
30333,Product 30333,Home Decor,899.44
30334,Product 30334,Kitchen,596.99
30335,Product 30335,Sports,388.86
30336,Product 30336,Home Decor,136.0
30337,Product 30337,Sports,132.89
30338,Product 30338,Home Decor,844.78
30339,Product 30339,Home Decor,537.87
30340,Product 30340,Kitchen,934.41
30341,Product 30341,Home Decor,551.47
30342,Product 30342,Home Decor,264.66
30343,Product 30343,Sports,626.91
30344,Product 30344,Sports,778.22
30345,Product 30345,Sports,579.31
30346,Product 30346,Sports,925.87
30347,Product 30347,Home Decor,920.43
30348,Product 30348,Home Decor,873.89
30349,Product 30349,Sports,385.98
30350,Product 30350,Wearables,53.61
30351,Product 30351,Wearables,948.48
30352,Product 30352,Wearables,217.64
30353,Product 30353,Electronics,298.9
30354,Product 30354,Wearables,832.1
30355,Product 30355,Kitchen,896.22
30356,Product 30356,Sports,818.51
30357,Product 30357,Home Decor,332.48
30358,Product 30358,Wearables,62.24
30359,Product 30359,Wearables,796.7
30360,Product 30360,Sports,716.82
30361,Product 30361,Electronics,731.74
30362,Product 30362,Kitchen,500.7
30363,Product 30363,Kitchen,847.16
30364,Product 30364,Home Decor,936.52
30365,Product 30365,Home Decor,879.79
30366,Product 30366,Sports,160.26
30367,Product 30367,Sports,715.76
30368,Product 30368,Wearables,645.53
30369,Product 30369,Sports,477.91
30370,Product 30370,Electronics,183.44
30371,Product 30371,Kitchen,843.7
30372,Product 30372,Sports,70.22
30373,Product 30373,Wearables,114.66
30374,Product 30374,Home Decor,136.13
30375,Product 30375,Wearables,98.87
30376,Product 30376,Home Decor,604.34
30377,Product 30377,Wearables,158.3
30378,Product 30378,Home Decor,818.5
30379,Product 30379,Sports,760.46
30380,Product 30380,Wearables,784.89
30381,Product 30381,Kitchen,926.65
30382,Product 30382,Kitchen,212.48
30383,Product 30383,Electronics,499.45
30384,Product 30384,Wearables,368.06
30385,Product 30385,Sports,352.81
30386,Product 30386,Wearables,604.06
30387,Product 30387,Kitchen,998.75
30388,Product 30388,Sports,252.55
30389,Product 30389,Wearables,604.15
30390,Product 30390,Kitchen,405.22
30391,Product 30391,Wearables,155.17
30392,Product 30392,Electronics,888.38
30393,Product 30393,Kitchen,676.4
30394,Product 30394,Electronics,293.82
30395,Product 30395,Sports,442.56
30396,Product 30396,Electronics,245.17
30397,Product 30397,Sports,668.78
30398,Product 30398,Wearables,208.43
30399,Product 30399,Electronics,902.11
30400,Product 30400,Sports,963.97
30401,Product 30401,Sports,804.93
30402,Product 30402,Kitchen,415.24
30403,Product 30403,Electronics,414.93
30404,Product 30404,Kitchen,25.2
