order_item_id,order_id,product_id,quantity,unit_price
30001,10051,7211,8,42.51
30002,26411,23066,10,235.36
30003,24721,2941,6,446.68
30004,6810,27495,3,323.78
30005,29706,28518,4,51.82
30006,19413,18574,4,195.91
30007,24173,6625,8,224.84
30008,9703,9869,3,124.98
30009,23045,7066,6,290.77
30010,6008,13795,5,283.86
30011,15371,5226,10,147.65
30012,20281,20901,7,174.39
30013,24552,7190,6,297.3
30014,4200,28884,3,10.44
30015,8754,6847,9,215.9
30016,9446,19369,5,423.79
30017,20086,15917,3,319.92
30018,32918,15843,9,250.4
30019,23027,18318,7,130.88
30020,9940,24205,2,445.0
30021,33994,28534,10,381.72
30022,28069,11748,8,368.15
30023,1809,34345,8,314.8
30024,21036,2332,1,236.0
30025,4851,14148,4,239.78
30026,19487,7162,1,332.25
30027,17447,25030,8,114.18
30028,10896,34453,10,37.98
30029,16648,4823,7,223.14
30030,31135,17051,1,242.58
30031,22647,3957,6,422.77
30032,17167,23669,4,494.06
30033,9254,621,7,86.75
30034,22048,25773,6,177.93
30035,33751,21569,4,136.1
30036,12108,20821,8,343.18
30037,3257,34844,3,331.05
30038,10816,28572,7,401.82
30039,22040,32988,10,292.79
30040,20311,25912,5,76.56
30041,25680,16582,8,215.31
30042,31615,1021,6,158.86
30043,31730,19571,10,35.78
30044,18807,1733,10,317.95
30045,26741,16709,2,428.86
30046,996,27747,2,487.31
30047,34504,21328,9,404.76
30048,21405,15405,2,135.9
30049,2444,25591,1,416.54
30050,29727,31806,8,162.27
30051,22019,17697,8,220.09
30052,7677,23567,2,485.29
30053,27784,14460,5,51.44
30054,5633,20368,3,391.06
30055,4732,24156,2,271.14
30056,9219,26320,6,52.48
30057,7589,27583,9,417.8
30058,18477,32847,1,92.74
30059,10487,12077,2,386.98
30060,3132,28537,6,359.43
30061,15664,33675,10,380.16
30062,34431,1329,1,474.56
30063,27027,28859,9,441.04
30064,1668,30520,5,74.62
30065,18355,4899,1,497.43
30066,17572,30649,2,274.1
30067,19960,28746,8,394.96
30068,20056,8952,8,353.02
30069,14236,30339,10,493.33
30070,29726,6376,10,103.57
30071,6065,31603,2,339.26
30072,17807,34709,7,245.19
30073,15736,22864,7,56.59
30074,28284,22108,5,227.15
30075,19302,6793,4,230.79
30076,3337,4819,3,248.24
30077,15098,25567,4,181.73
30078,13347,6271,10,385.41
30079,31771,25819,7,378.35
30080,19051,23118,4,93.44
30081,11382,20449,2,420.46
30082,8224,4557,1,91.81
30083,10138,31049,8,274.06
30084,28030,4578,7,50.56
30085,20133,14882,7,95.94
30086,2687,3355,5,351.1
30087,20662,6129,7,224.18
30088,13484,9463,3,129.44
30089,19499,22476,9,496.43
30090,2179,18614,1,178.65
30091,7914,33010,6,78.69
30092,1815,7792,7,59.57
30093,5505,20751,4,144.72
30094,33377,15164,1,380.48
30095,20742,32451,2,481.15
30096,9281,27069,3,455.88
30097,15244,24922,5,150.35
30098,5216,20647,3,204.54
30099,11636,12009,10,31.68
30100,25896,21541,1,76.92
30101,16881,15869,10,102.67
30102,5396,4351,4,177.28
30103,3559,31574,9,104.88
30104,9634,678,3,240.93
30105,10837,7330,3,80.36
30106,15786,28827,7,195.86
30107,12695,13794,9,100.29
30108,28042,33918,6,204.89
30109,31000,32782,7,38.7
30110,12716,34076,5,266.56
30111,1783,28015,4,126.75
30112,23967,18430,10,331.54
30113,5275,22542,2,154.02
30114,2748,1669,6,418.39
30115,24235,24492,2,309.31
30116,25880,13082,3,185.91
30117,7308,33185,9,440.62
30118,4104,15093,1,222.97
30119,285,2530,5,309.99
30120,8448,22675,8,460.64
30121,29182,24278,5,164.62
30122,10160,15448,6,289.62
30123,23183,4402,2,476.23
30124,1194,19653,6,174.27
30125,8409,13603,2,285.65
30126,4455,8877,8,98.4
30127,12174,7031,10,454.08
30128,24619,167,3,467.87
30129,16787,9632,1,41.79
30130,15404,13953,8,423.73
30131,11733,26373,9,266.12
30132,30291,14343,10,296.55
30133,34577,32277,3,214.7
30134,19973,7536,5,106.71
30135,7452,7784,7,143.19
30136,26534,15531,3,446.87
30137,4370,27614,5,433.74
30138,11669,5358,3,266.14
30139,19027,9578,10,360.02
30140,10686,26950,6,158.26
30141,8777,31266,8,132.09
30142,486,27012,8,204.16
30143,33007,10852,10,150.43
30144,12737,19368,6,428.24
30145,11557,14622,1,50.01
30146,28963,30510,5,221.64
30147,880,13527,8,99.23
30148,9234,24606,10,61.0
30149,25708,3514,6,20.1
30150,34622,10649,2,200.85
30151,8762,6639,7,156.39
30152,30058,31638,3,208.23
30153,14137,14562,8,151.24
30154,27512,5934,2,265.27
30155,13888,29916,7,413.57
30156,26351,26750,2,205.68
30157,34735,21997,3,429.11
30158,6827,23703,3,391.58
30159,4325,31546,7,174.53
30160,1469,34364,10,199.61
30161,24861,25805,1,183.68
30162,13450,13352,4,202.69
30163,4535,3008,3,8.78
30164,25556,165,5,12.74
30165,23530,21038,9,485.73
30166,491,29200,7,420.79
30167,7394,29231,7,237.83
30168,11114,20893,5,76.85
30169,1434,16383,1,305.26
30170,7864,31783,10,9.3
30171,28048,33956,9,372.89
30172,17417,1624,3,293.6
30173,2023,22687,1,311.8
30174,34612,25700,1,139.01
30175,30377,10446,9,102.03
30176,2242,9114,1,378.71
30177,30885,8567,5,443.41
30178,24179,34767,2,83.67
30179,29838,17688,4,182.25
30180,12158,28261,9,57.39
30181,22578,11816,3,382.88
30182,11699,29314,7,226.38
30183,15997,22968,1,469.99
30184,27509,10691,1,62.75
30185,25316,14786,3,16.81
