order_id,order_date,customer_id,total_amount,order_status,timestamp
30001,2025-02-26,24535,3094.59,DELIVERED,2025-02-26T10:18:49.019-07:00
30002,2025-02-26,3792,532.35,CANCELLED,2025-02-26T10:18:49.019-07:00
30003,2025-02-26,19176,433.76,CANCELLED,2025-02-26T10:18:49.019-07:00
30004,2025-02-26,11529,2619.66,PENDING,2025-02-26T10:18:49.019-07:00
30005,2025-02-26,11519,681.58,CANCELLED,2025-02-26T10:18:49.019-07:00
30006,2025-02-26,9747,3333.25,PENDING,2025-02-26T10:18:49.019-07:00
30007,2025-02-26,33918,4968.29,CANCELLED,2025-02-26T10:18:49.019-07:00
30008,2025-02-26,24959,2040.0,CANCELLED,2025-02-26T10:18:49.019-07:00
30009,2025-02-26,3399,1423.98,CANCELLED,2025-02-26T10:18:49.019-07:00
30010,2025-02-26,17365,492.03,CANCELLED,2025-02-26T10:18:49.019-07:00
30011,2025-02-26,6255,2634.0,DELIVERED,2025-02-26T10:18:49.019-07:00
30012,2025-02-26,33197,4786.35,PENDING,2025-02-26T10:18:49.019-07:00
30013,2025-02-26,6570,2032.6,PENDING,2025-02-26T10:18:49.019-07:00
30014,2025-02-26,27650,93.74,DELIVERED,2025-02-26T10:18:49.019-07:00
30015,2025-02-26,10930,1968.2,PENDING,2025-02-26T10:18:49.019-07:00
30016,2025-02-26,17496,642.92,DELIVERED,2025-02-26T10:18:49.019-07:00
30017,2025-02-26,4415,1960.09,CANCELLED,2025-02-26T10:18:49.019-07:00
30018,2025-02-26,28990,1358.73,SHIPPED,2025-02-26T10:18:49.019-07:00
30019,2025-02-26,11128,239.8,SHIPPED,2025-02-26T10:18:49.019-07:00
30020,2025-02-26,27584,3205.47,DELIVERED,2025-02-26T10:18:49.019-07:00
30021,2025-02-26,8400,4102.42,SHIPPED,2025-02-26T10:18:49.019-07:00
30022,2025-02-26,4628,1572.94,SHIPPED,2025-02-26T10:18:49.019-07:00
30023,2025-02-26,34212,3155.52,SHIPPED,2025-02-26T10:18:49.019-07:00
30024,2025-02-26,12952,2611.72,CANCELLED,2025-02-26T10:18:49.019-07:00
30025,2025-02-26,4701,2738.51,SHIPPED,2025-02-26T10:18:49.019-07:00
30026,2025-02-26,4473,4489.89,PENDING,2025-02-26T10:18:49.019-07:00
30027,2025-02-26,439,2522.25,DELIVERED,2025-02-26T10:18:49.019-07:00
