product_id,product_name,category,price,timestamp
25001,Product 25001,Kitchen,256.57,2025-02-20T14:14:31.775-07:00
25002,Product 25002,Sports,142.92,2025-02-20T14:14:31.775-07:00
25003,Product 25003,Home Decor,755.22,2025-02-20T14:14:31.775-07:00
25004,Product 25004,Kitchen,726.97,2025-02-20T14:14:31.775-07:00
25005,Product 25005,Home Decor,398.55,2025-02-20T14:14:31.775-07:00
25006,Product 25006,Electronics,334.23,2025-02-20T14:14:31.775-07:00
25007,Product 25007,Home Decor,477.53,2025-02-20T14:14:31.775-07:00
25008,Product 25008,Wearables,852.25,2025-02-20T14:14:31.775-07:00
25009,Product 25009,Kitchen,655.11,2025-02-20T14:14:31.775-07:00
25010,Product 25010,Sports,265.95,2025-02-20T14:14:31.775-07:00
25011,Product 25011,Wearables,200.79,2025-02-20T14:14:31.775-07:00
25012,Product 25012,Kitchen,767.39,2025-02-20T14:14:31.775-07:00
25013,Product 25013,Electronics,554.44,2025-02-20T14:14:31.775-07:00
25014,Product 25014,Wearables,644.51,2025-02-20T14:14:31.775-07:00
25015,Product 25015,Home Decor,823.59,2025-02-20T14:14:31.775-07:00
25016,Product 25016,Electronics,666.45,2025-02-20T14:14:31.775-07:00
25017,Product 25017,Wearables,259.15,2025-02-20T14:14:31.775-07:00
25018,Product 25018,Wearables,120.25,2025-02-20T14:14:31.775-07:00
25019,Product 25019,Kitchen,799.93,2025-02-20T14:14:31.775-07:00
25020,Product 25020,Wearables,559.61,2025-02-20T14:14:31.775-07:00
25021,Product 25021,Kitchen,297.19,2025-02-20T14:14:31.775-07:00
25022,Product 25022,Sports,820.14,2025-02-20T14:14:31.775-07:00
25023,Product 25023,Sports,29.03,2025-02-20T14:14:31.775-07:00
25024,Product 25024,Home Decor,912.14,2025-02-20T14:14:31.775-07:00
25025,Product 25025,Home Decor,314.26,2025-02-20T14:14:31.775-07:00
25026,Product 25026,Kitchen,528.42,2025-02-20T14:14:31.775-07:00
25027,Product 25027,Wearables,906.09,2025-02-20T14:14:31.775-07:00
25028,Product 25028,Sports,418.94,2025-02-20T14:14:31.775-07:00
25029,Product 25029,Kitchen,735.85,2025-02-20T14:14:31.775-07:00
25030,Product 25030,Sports,831.28,2025-02-20T14:14:31.775-07:00
25031,Product 25031,Sports,478.19,2025-02-20T14:14:31.775-07:00
25032,Product 25032,Electronics,338.02,2025-02-20T14:14:31.775-07:00
25033,Product 25033,Electronics,787.25,2025-02-20T14:14:31.775-07:00
25034,Product 25034,Kitchen,263.88,2025-02-20T14:14:31.775-07:00
25035,Product 25035,Electronics,639.14,2025-02-20T14:14:31.775-07:00
25036,Product 25036,Kitchen,394.14,2025-02-20T14:14:31.775-07:00
25037,Product 25037,Home Decor,930.33,2025-02-20T14:14:31.775-07:00
25038,Product 25038,Kitchen,246.99,2025-02-20T14:14:31.775-07:00
25039,Product 25039,Home Decor,397.42,2025-02-20T14:14:31.775-07:00
25040,Product 25040,Kitchen,205.55,2025-02-20T14:14:31.775-07:00
25041,Product 25041,Wearables,734.44,2025-02-20T14:14:31.775-07:00
25042,Product 25042,Electronics,386.79,2025-02-20T14:14:31.775-07:00
25043,Product 25043,Home Decor,672.28,2025-02-20T14:14:31.775-07:00
25044,Product 25044,Kitchen,184.23,2025-02-20T14:14:31.775-07:00
25045,Product 25045,Electronics,911.0,2025-02-20T14:14:31.775-07:00
25046,Product 25046,Sports,456.81,2025-02-20T14:14:31.775-07:00
25047,Product 25047,Wearables,589.11,2025-02-20T14:14:31.775-07:00
25048,Product 25048,Wearables,698.24,2025-02-20T14:14:31.775-07:00
25049,Product 25049,Wearables,782.65,2025-02-20T14:14:31.775-07:00
25050,Product 25050,Home Decor,221.96,2025-02-20T14:14:31.775-07:00
25051,Product 25051,Home Decor,424.75,2025-02-20T14:14:31.775-07:00
25052,Product 25052,Wearables,704.82,2025-02-20T14:14:31.775-07:00
25053,Product 25053,Home Decor,792.57,2025-02-20T14:14:31.775-07:00
25054,Product 25054,Electronics,635.64,2025-02-20T14:14:31.775-07:00
25055,Product 25055,Kitchen,668.38,2025-02-20T14:14:31.775-07:00
25056,Product 25056,Kitchen,732.89,2025-02-20T14:14:31.775-07:00
25057,Product 25057,Sports,17.49,2025-02-20T14:14:31.775-07:00
25058,Product 25058,Kitchen,130.22,2025-02-20T14:14:31.775-07:00
25059,Product 25059,Home Decor,739.7,2025-02-20T14:14:31.775-07:00
25060,Product 25060,Sports,896.7,2025-02-20T14:14:31.775-07:00
25061,Product 25061,Wearables,121.54,2025-02-20T14:14:31.775-07:00
25062,Product 25062,Wearables,145.63,2025-02-20T14:14:31.775-07:00
25063,Product 25063,Electronics,808.6,2025-02-20T14:14:31.775-07:00
25064,Product 25064,Wearables,68.18,2025-02-20T14:14:31.775-07:00
25065,Product 25065,Sports,917.5,2025-02-20T14:14:31.775-07:00
25066,Product 25066,Sports,130.98,2025-02-20T14:14:31.775-07:00
25067,Product 25067,Kitchen,727.55,2025-02-20T14:14:31.775-07:00
