product_id,product_name,category,price,timestamp
30001,Product 30001,Home Decor,713.97,2025-02-26T10:18:49.601-07:00
30002,Product 30002,Wearables,848.54,2025-02-26T10:18:49.601-07:00
30003,Product 30003,Sports,668.62,2025-02-26T10:18:49.601-07:00
30004,Product 30004,Electronics,903.72,2025-02-26T10:18:49.601-07:00
30005,Product 30005,Electronics,374.79,2025-02-26T10:18:49.601-07:00
30006,Product 30006,Sports,851.12,2025-02-26T10:18:49.601-07:00
30007,Product 30007,Wearables,459.64,2025-02-26T10:18:49.601-07:00
30008,Product 30008,Electronics,155.79,2025-02-26T10:18:49.601-07:00
30009,Product 30009,Wearables,827.52,2025-02-26T10:18:49.601-07:00
30010,Product 30010,Sports,225.63,2025-02-26T10:18:49.601-07:00
30011,Product 30011,Home Decor,532.22,2025-02-26T10:18:49.601-07:00
30012,Product 30012,Sports,111.17,2025-02-26T10:18:49.601-07:00
30013,Product 30013,Wearables,950.23,2025-02-26T10:18:49.601-07:00
30014,Product 30014,Sports,959.23,2025-02-26T10:18:49.601-07:00
30015,Product 30015,Home Decor,93.89,2025-02-26T10:18:49.601-07:00
30016,Product 30016,Kitchen,186.43,2025-02-26T10:18:49.601-07:00
30017,Product 30017,Kitchen,157.87,2025-02-26T10:18:49.601-07:00
30018,Product 30018,Sports,638.18,2025-02-26T10:18:49.601-07:00
30019,Product 30019,Electronics,891.85,2025-02-26T10:18:49.601-07:00
30020,Product 30020,Sports,650.93,2025-02-26T10:18:49.601-07:00
30021,Product 30021,Wearables,718.04,2025-02-26T10:18:49.601-07:00
30022,Product 30022,Wearables,924.34,2025-02-26T10:18:49.601-07:00
30023,Product 30023,Wearables,61.65,2025-02-26T10:18:49.601-07:00
30024,Product 30024,Home Decor,44.22,2025-02-26T10:18:49.601-07:00
30025,Product 30025,Wearables,311.6,2025-02-26T10:18:49.601-07:00
30026,Product 30026,Wearables,316.67,2025-02-26T10:18:49.601-07:00
30027,Product 30027,Sports,49.26,2025-02-26T10:18:49.601-07:00
30028,Product 30028,Home Decor,274.29,2025-02-26T10:18:49.601-07:00
30029,Product 30029,Sports,651.74,2025-02-26T10:18:49.601-07:00
30030,Product 30030,Home Decor,672.4,2025-02-26T10:18:49.601-07:00
30031,Product 30031,Sports,945.72,2025-02-26T10:18:49.601-07:00
30032,Product 30032,Sports,162.65,2025-02-26T10:18:49.601-07:00
30033,Product 30033,Kitchen,695.85,2025-02-26T10:18:49.601-07:00
30034,Product 30034,Wearables,844.9,2025-02-26T10:18:49.601-07:00
30035,Product 30035,Electronics,706.87,2025-02-26T10:18:49.601-07:00
30036,Product 30036,Home Decor,259.18,2025-02-26T10:18:49.601-07:00
30037,Product 30037,Home Decor,879.36,2025-02-26T10:18:49.601-07:00
30038,Product 30038,Electronics,992.15,2025-02-26T10:18:49.601-07:00
30039,Product 30039,Wearables,703.73,2025-02-26T10:18:49.601-07:00
